Console,Title,USSales,YearReleased,Publisher,Genre,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
Sony PSP,World Championship Poker 2 featuring Howard Led...,0.13,2005,"Crave Entertainment, Inc., Oxygen Interactive Software Ltd.",Simulation,1,0,9.95,65,1,1,0,0,1,0,0,1
X360,Amped 3,0.13,2005,2K Sports,Sports,1,0,14.95,72,0,1,0,0,0,0,0,0
Nintendo DS,Break 'em All,0.12,2005,"D3Publisher Inc., D3Publisher of America, Inc.",Action,0,0,17.95,68,1,1,0,0,1,0,0,0
Nintendo DS,Lunar: Dragon Song,0.12,2005,"Marvelous Entertainment Inc., Rising Star Games Ltd., Ubisoft, Inc.",Role-Playing (RPG),0,0,14.95,59,1,1,0,0,1,0,0,0
Nintendo DS,Madden NFL 06,0.12,2005,"Electronic Arts, Inc.",Sports,1,0,9.95,66,1,1,0,1,1,0,0,1
Nintendo DS,Retro Atari Classics,0.12,2005,"Atari Europe S.A.S.U., Atari, Inc.","Action, Racing / Driving, Simulation",0,1,12.95,51,1,1,0,0,1,0,0,0
Nintendo DS,True Swing Golf,0.12,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Sports,0,0,14.95,66,1,1,0,0,1,0,0,0
Sony PSP,FIFA Soccer,0.12,2005,"Electronic Arts, Inc.",Sports,1,0,14.95,73,1,1,0,1,1,0,0,1
Sony PSP,Metal Gear Ac!d 2,0.12,2005,"Konami Corporation, Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.",Strategy,0,0,12.95,80,1,1,1,0,1,0,0,0
Nintendo DS,ATV Quad Frenzy,0.11,2005,"Majesco Sales, Inc., Majesco Europe Ltd.","Racing / Driving, Sports",0,0,14.95,35,1,1,0,0,1,0,0,0
Nintendo DS,Bomberman,0.11,2005,"Hudson Soft Company, Ltd., Ubisoft Entertainment SA, Ubisoft, Inc.",Strategy,1,0,17.95,75,1,1,0,0,1,0,0,1
Nintendo DS,GoldenEye: Rogue Agent,0.11,2005,"Electronic Arts, Inc.",Action,1,0,14.95,58,1,1,0,1,1,0,0,1
Nintendo DS,Need for Speed Underground 2,0.11,2005,"Electronic Arts, Inc.",Racing / Driving,1,0,22.95,65,1,1,0,1,1,0,0,1
Sony PSP,FIFA Soccer 06,0.11,2005,"Electronic Arts, Inc.",Sports,1,0,16.95,77,1,1,1,1,1,0,0,1
Sony PSP,Frogger: Helmet Chaos,0.11,2005,"Konami of Europe GmbH, Konami Digital Entertainment, Inc.",Action,1,0,19.95,66,1,1,0,0,1,0,0,1
Sony PSP,The Lord of the Rings: Tactics,0.11,2005,"Electronic Arts, Inc.","Role-Playing (RPG), Strategy",0,0,19.95,64,1,1,1,1,1,0,0,0
Sony PSP,Rengoku: The Tower of Purgatory,0.11,2005,"Konami of Europe GmbH, Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.","Action, Role-Playing (RPG)",0,0,12.95,43,1,1,1,0,1,0,0,0
Sony PSP,Gretzky NHL,0.1,2005,"Sony Computer Entertainment America, Inc.",Sports,0,0,9.95,61,1,2,0,1,1,0,0,0
X360,Ridge Racer 6,0.1,2005,"Electronic Arts UK Ltd., Namco Europe Limited, Namco Hometek Inc., Namco Limited",Racing / Driving,1,0,14.95,74,0,2,1,0,0,0,0,0
Nintendo DS,Ford Racing 3,0.1,2005,"Destination Software, Inc.","Action, Racing / Driving",1,0,14.95,49,1,1,0,1,1,0,0,1
Sony PSP,World Tour Soccer,0.1,2005,"Sony Computer Entertainment America, Inc.",Sports,0,0,12.95,70,1,1,1,1,1,0,0,0
X360,NHL 2K6 ,0.1,2005,2K Sports,Sports,1,0,5.95,75,0,1,0,0,0,0,0,1
Nintendo DS,Bust-a-Move DS,0.09,2005,"505 GameStreet, Majesco Entertainment Company","Action, Strategy",0,1,17.95,75,1,1,0,0,1,0,0,0
Nintendo DS,Battles of Prince of Persia,0.09,2005,"Ubisoft Entertainment SA, Ubisoft, Inc.",Strategy,1,0,14.95,64,1,1,0,0,1,0,0,0
Nintendo DS,Snood 2: On Vacation,0.09,2005,"Destination Software, Inc.","Action, Strategy",1,0,11.95,46,1,1,0,0,1,0,0,0
Sony PSP,GripShift,0.09,2005,"Platform Publishing, Red Mile Entertainment, Inc., Ubisoft Entertainment SA",Racing / Driving,0,0,9.95,70,1,1,1,0,1,0,0,0
Nintendo DS,Marvel Nemesis: Rise of the Imperfects ,0.08,2005,"Electronic Arts, Inc.",Action,0,0,14.95,34,1,1,0,1,1,0,0,1
Nintendo DS,Scooby-Doo! Unmasked,0.08,2005,"THQ France, THQ Inc.",Action,0,0,17.95,60,1,1,0,1,1,0,0,1
Nintendo DS,Viewtiful Joe: Double Trouble!,0.08,2005,"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.",Action,1,0,14.95,73,1,1,0,0,1,0,0,0
Sony PSP,Frantix,0.08,2005,"Platform Publishing, Ubisoft Entertainment SA",Action,0,0,12.95,59,1,1,0,0,1,0,0,0
Sony PSP,The Legend of Heroes: A Tear of Vermillion,0.08,2005,"Bandai Co., Ltd., Bandai Games Inc.",Role-Playing (RPG),0,0,17.95,68,1,1,0,0,1,0,0,0
Sony PSP,PQ: Practical Intelligence Quotient,0.08,2005,"D3Publisher of America, Inc., D3Publisher of Europe Ltd., Now Production Co., Ltd.",Strategy,0,0,14.95,69,1,1,0,0,1,0,0,0
Nintendo DS,Lost in Blue,0.07,2005,"Konami Digital Entertainment Co., Ltd., Konami of Europe GmbH, Konami Digital Entertainment, Inc.",Role-Playing (RPG),0,0,24.95,69,1,1,0,0,1,0,0,0
Sony PSP,Ghost in the Shell: Stand Alone Complex,0.07,2005,"Bandai Games Inc., Bandai S.A., Sony Computer Entertainment Incorporated",Action,0,0,14.95,61,1,1,1,1,1,0,0,0
Sony PSP,The Hustle: Detroit Streets,0.07,2005,"Activision Value Publishing, Inc., Deep Silver",Sports,0,0,7.95,51,1,1,1,0,1,0,0,1
Nintendo DS,Dig Dug: Digging Strike,0.06,2005,Namco Hometek Inc.,Action,0,1,16.95,65,1,1,0,0,1,0,0,0
Nintendo DS,Frogger: Helmet Chaos,0.06,2005,"Konami of Europe GmbH, Konami Digital Entertainment, Inc.",Action,1,0,17.95,69,1,1,0,0,1,0,0,1
