Title,Genre,Console,USSales,YearReleased,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
NFL Street 2,Sports,Sony PSP,0.37,2005,1,0,17.95,73,1,4,1,1,1,0,0,0
Kirby: Canvas Curse,Action,Nintendo DS,0.37,2005,1,0,17.95,86,1,1,0,0,1,0,0,0
Battlefield 2: Modern Combat,Action,X360,0.36,2005,1,0,16.95,77,0,4,1,0,0,0,0,1
Yoshi Touch & Go,Action,Nintendo DS,0.36,2005,1,0,17.95,73,1,1,0,0,1,0,0,0
Tiger Woods PGA Tour 06,Sports,X360,0.33,2005,1,0,9.95,71,0,4,1,1,0,0,0,0
Condemned: Criminal Origins,"Action, Adventure",X360,0.33,2005,0,0,14.95,81,0,1,0,0,0,0,0,0
Peter Jackson's King Kong: The Official Game of...,Action,X360,0.32,2005,0,0,14.95,80,0,2,0,1,0,0,0,1
Castlevania: Dawn of Sorrow,"Action, Role-Playing (RPG)",Nintendo DS,0.31,2005,1,0,17.95,89,1,1,0,0,1,0,0,0
SpongeBob SquarePants: The Yellow Avenger,Action,Nintendo DS,0.31,2005,0,0,13.95,67,1,1,0,0,1,0,0,1
Marvel Nemesis: Rise of the Imperfects ,Action,Sony PSP,0.31,2005,0,0,17.95,58,1,1,1,1,1,0,0,1
Kameo: Elements of Power,Action,X360,0.31,2005,0,0,11.95,79,0,1,1,0,0,0,0,0
Advance Wars: Dual Strike,Strategy,Nintendo DS,0.3,2005,1,0,17.95,90,1,1,0,0,1,0,0,0
Trauma Center: Under the Knife,"Action, Simulation",Nintendo DS,0.3,2005,0,0,15.95,81,1,1,0,0,1,0,0,0
Coded Arms,Action,Sony PSP,0.3,2005,0,0,12.95,59,1,1,1,0,1,0,0,0
NBA LIVE 06 ,Sports,X360,0.29,2005,1,0,4.95,64,0,1,0,0,0,0,0,1
Tony Hawk's American Wasteland,Sports,X360,0.29,2005,1,0,14.95,75,0,1,1,1,0,0,0,1
Star Wars: Episode III - Revenge of the Sith,Action,Nintendo DS,0.28,2005,1,0,16.95,73,1,1,0,1,1,0,0,0
Capcom Classics Collection Remixed,Action,Sony PSP,0.28,2005,0,1,17.95,72,1,1,1,0,1,0,0,0
Madagascar,Adventure,Nintendo DS,0.27,2005,0,0,14.95,66,1,1,0,1,1,0,0,1
X-Men: Legends II - Rise of Apocalypse,"Action, Role-Playing (RPG)",Sony PSP,0.27,2005,1,0,17.95,84,1,1,1,1,1,0,0,1
Quake 4,Action,X360,0.27,2005,1,0,14.95,75,0,1,1,0,0,0,0,0
PokÇmon Trozei!,Strategy,Nintendo DS,0.26,2005,0,0,19.95,74,1,1,0,0,1,0,0,0
Need for Speed: Most Wanted,Racing / Driving,Nintendo DS,0.25,2005,1,0,15.95,45,1,1,0,1,1,0,0,1
Mega Man Maverick Hunter X,Action,Sony PSP,0.25,2005,0,1,17.95,79,1,1,0,0,1,0,0,0
MLB,Sports,Sony PSP,0.24,2005,0,0,9.95,80,1,1,0,1,1,0,0,0
NBA Street Showdown,Sports,Sony PSP,0.22,2005,1,0,17.95,75,1,4,1,1,1,0,0,0
Metroid Prime Pinball,"Action, Simulation",Nintendo DS,0.22,2005,1,0,17.95,79,1,1,0,0,1,0,0,0
NBA 06,Sports,Sony PSP,0.22,2005,1,0,9.95,72,1,1,1,1,1,0,0,1
GUN ,"Action, Racing / Driving, Role-Playing (RPG)",X360,0.22,2005,0,0,19.95,75,0,1,0,0,0,0,0,1
NBA 2K6 ,Sports,X360,0.22,2005,1,0,4.95,81,0,1,0,0,0,0,0,1
Pinball Hall of Fame: The Gottlieb Collection,Action,Sony PSP,0.21,2005,1,0,9.95,73,1,4,1,1,1,0,0,1
Harry Potter and the Goblet of Fire,Action,Nintendo DS,0.21,2005,1,0,17.95,68,1,1,0,1,1,0,0,1
