Title,Genre,Console,USSales,YearReleased,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
SpongeBob SquarePants: The Yellow Avenger,Action,Sony PSP,0.49,2006,0,0,12.95,48,2,1,1,0,1,0,0,1
Madden NFL 07,Sports,Nintendo Wii,0.48,2006,1,0,9.95,81,0,4,0,1,0,0,0,1
Fight Night Round 3,"Action, Simulation, Sports",Sony PSP,0.48,2006,1,0,16.95,74,2,2,0,0,1,0,0,1
Need for Speed: Carbon,Racing / Driving,PlayStation 3,0.47,2006,1,0,17.95,75,0,2,1,1,0,0,0,1
Need for Speed: Carbon,Racing / Driving,Nintendo Wii,0.47,2006,1,0,17.95,67,0,2,0,1,0,0,0,1
WWE SmackDown vs. Raw 2007,Sports,X360,0.45,2006,1,0,12.95,81,1,4,1,1,0,0,0,1
Tiger Woods PGA Tour 07,Sports,X360,0.45,2006,1,0,9.95,80,1,1,0,1,0,0,0,1
Viva Pi§ata,"Simulation, Strategy",X360,0.44,2006,0,0,16.95,84,1,4,1,1,0,0,0,0
SpongeBob Squarepants: Creature from the Krusty Krab,"Action, Adventure",Nintendo Wii,0.44,2006,0,0,14.95,57,0,1,0,0,0,0,0,1
Tony Hawk's Project 8,Sports,Sony PSP,0.42,2006,1,0,17.95,68,2,2,1,1,1,0,0,1
Tony Hawk's Project 8,Sports,X360,0.42,2006,1,0,16.95,81,1,2,1,1,0,0,0,1
NBA LIVE 07 ,Sports,X360,0.42,2006,1,0,4.95,59,1,1,0,0,0,0,0,1
Excite Truck,Racing / Driving,Nintendo Wii,0.4,2006,1,0,19.95,72,0,2,0,0,0,0,0,0
Harvest Moon DS,"Role-Playing (RPG), Simulation",Nintendo DS,0.4,2006,0,0,17.95,67,2,1,0,0,1,0,0,0
Star Fox Command,Action,Nintendo DS,0.39,2006,1,0,14.95,76,2,1,1,0,1,0,0,0
Metal Gear Solid: Portable Ops,"Action, Strategy",Sony PSP,0.39,2006,0,0,17.95,87,2,1,1,0,1,0,0,0
Marvel Ultimate Alliance,"Action, Role-Playing (RPG)",Nintendo Wii,0.38,2006,0,0,17.95,73,0,4,0,1,0,0,0,1
Blazing Angels: Squadrons of WWII,Action,X360,0.37,2006,0,0,16.95,66,1,2,1,0,0,0,0,1
Major League Baseball 2K6,Sports,X360,0.37,2006,1,0,4.95,66,1,2,0,1,0,0,0,1
NCAA Football 07,Sports,Sony PSP,0.36,2006,1,0,9.95,75,2,1,0,1,1,0,0,1
MLB 06: The Show,Sports,Sony PSP,0.35,2006,1,0,9.95,83,2,2,0,1,1,0,0,1
Blazing Angels: Squadrons of WWII,Action,PlayStation 3,0.35,2006,0,0,16.95,67,0,2,1,0,0,0,0,1
WWE SmackDown vs. Raw 2007,Sports,Sony PSP,0.34,2006,1,0,14.95,78,2,4,1,1,1,0,0,1
Rune Factory: A Fantasy Harvest Moon,"Role-Playing (RPG), Simulation",Nintendo DS,0.34,2006,0,0,24.95,78,2,1,0,0,1,0,0,0
Marvel Ultimate Alliance,"Action, Role-Playing (RPG)",Sony PSP,0.34,2006,0,0,22.95,81,2,1,1,1,1,0,0,1
Marvel Ultimate Alliance,"Action, Role-Playing (RPG)",PlayStation 3,0.33,2006,0,0,24.95,78,0,4,1,1,0,0,0,1
Tiger Woods PGA Tour 07,Sports,PlayStation 3,0.32,2006,1,0,14.95,81,0,4,1,1,0,0,0,1
Ace Combat X: Skies of Deception,"Action, Simulation",Sony PSP,0.32,2006,1,0,22.95,75,2,1,1,0,1,0,0,0
Killzone: Liberation,"Action, Strategy",Sony PSP,0.32,2006,1,0,16.95,77,2,1,1,0,1,0,0,0
F.E.A.R.: First Encounter Assault Recon,Action,X360,0.32,2006,0,0,17.95,85,1,1,1,0,0,0,0,0
NBA 2K7,Sports,PlayStation 3,0.31,2006,1,0,7.95,80,0,7,1,1,0,0,0,1
Tony Hawk's Project 8,Sports,PlayStation 3,0.3,2006,1,0,14.95,76,0,2,0,1,0,0,0,1
Avatar: The Last Airbender,Action,Nintendo DS,0.3,2006,0,0,17.95,64,2,1,0,1,1,0,0,1
Castlevania: Portrait of Ruin,Action,Nintendo DS,0.3,2006,1,0,17.95,85,2,1,1,0,1,0,0,0
Hitman: Blood Money,Action,X360,0.29,2006,1,0,22.95,82,1,1,0,0,0,0,0,1
Rockstar Games presents Table Tennis,Sports,X360,0.28,2006,0,0,9.95,81,1,2,1,0,0,0,0,1
Trauma Center: Second Opinion,"Action, Simulation",Nintendo Wii,0.28,2006,1,0,17.95,80,0,1,0,0,0,0,0,0
Tenchu Z,Action,X360,0.28,2006,1,0,14.95,56,1,1,1,0,0,0,0,0
Elite Beat Agents,Action,Nintendo DS,0.27,2006,0,0,9.95,87,2,1,0,0,1,0,0,0
Street Fighter Alpha 3 MAX,Action,Sony PSP,0.27,2006,1,1,14.95,80,2,1,1,0,1,0,0,0
Blue Dragon,Role-Playing (RPG),X360,0.27,2006,0,0,14.95,79,1,1,0,0,0,0,0,0
The Lord of the Rings: The Battle for Middle Ea...,Strategy,X360,0.27,2006,1,0,19.95,79,1,1,1,1,0,0,0,0
Prey,Action,X360,0.27,2006,0,0,14.95,79,1,1,1,0,0,0,0,0
Over the Hedge,Adventure,Nintendo DS,0.26,2006,0,0,16.95,71,2,1,0,1,1,0,0,1
Capcom Classics Collection Reloaded,Action,Sony PSP,0.26,2006,0,1,17.95,75,2,1,1,0,1,0,0,0
FIFA Soccer 07,Sports,Sony PSP,0.26,2006,1,0,13.95,80,2,1,0,1,1,0,0,1
Pirates of the Caribbean: Dead Man's Chest,Action,Sony PSP,0.26,2006,1,0,14.95,52,2,1,1,1,1,0,0,1
NHL 07 ,Sports,X360,0.26,2006,1,0,5.95,79,1,1,0,0,0,0,0,1
Monster Hunter Freedom,"Action, Strategy",Sony PSP,0.25,2006,0,0,12.95,71,2,1,1,0,1,0,0,0
Chromehounds,"Action, Simulation, Strategy",X360,0.25,2006,0,0,14.95,71,1,1,1,0,0,0,0,0
Test Drive Unlimited,Racing / Driving,X360,0.25,2006,1,0,17.95,82,1,1,1,1,0,0,0,1
Dragon Ball Z: Budokai Tenkaichi 2,Action,Nintendo Wii,0.24,2006,1,0,14.95,72,0,2,0,1,0,0,0,1
Dragon Quest Monsters: Joker,Role-Playing (RPG),Nintendo DS,0.24,2006,1,0,14.95,75,2,1,1,0,1,0,0,0
Pirates of the Caribbean: Dead Man's Chest,Action,Nintendo DS,0.24,2006,1,0,11.95,63,2,1,0,1,1,0,0,1
NFL Street 3,"Action, Sports",Sony PSP,0.24,2006,1,0,14.95,68,2,1,1,1,1,0,0,0
Syphon Filter: Dark Mirror,Action,Sony PSP,0.24,2006,1,0,12.95,87,2,1,1,0,1,0,0,1
NBA 07,Sports,PlayStation 3,0.23,2006,1,0,6.95,63,0,4,1,1,0,0,0,0
FIFA World Cup: Germany 2006,Sports,X360,0.23,2006,1,0,14.95,72,1,4,1,1,0,0,0,1
Ridge Racer 7,Racing / Driving,PlayStation 3,0.23,2006,1,0,19.95,78,0,2,1,0,0,0,0,0
The Outfit,Action,X360,0.23,2006,0,0,14.95,70,1,2,1,0,0,0,0,0
Elebits,Action,Nintendo Wii,0.22,2006,0,0,14.95,75,0,4,0,0,0,0,0,0
Tony Hawk's Downhill Jam,"Racing / Driving, Sports",Nintendo DS,0.22,2006,1,0,14.95,76,2,1,1,0,1,0,0,1
The Sims 2: Pets,Simulation,Sony PSP,0.21,2006,1,0,17.95,57,2,1,0,0,1,0,0,1
Tiger Woods PGA Tour 07,Sports,Sony PSP,0.21,2006,1,0,12.95,78,2,1,0,1,1,0,0,1
Disney/Pixar Cars,"Action, Racing / Driving",X360,0.2,2006,0,0,16.95,65,1,2,0,1,0,0,0,1
Thrillville,"Simulation, Strategy",Sony PSP,0.2,2006,0,0,14.95,72,2,1,1,0,1,0,0,1
The Godfather: The Game,Action,X360,0.2,2006,0,0,17.95,77,1,1,0,1,0,0,0,1
Rampage: Total Destruction,Action,Nintendo Wii,0.19,2006,1,0,16.95,46,0,4,0,0,0,0,0,1
College Hoops 2K7,Sports,X360,0.19,2006,1,0,6.95,82,1,4,1,1,0,0,0,1
Far Cry: Instincts - Predator,Action,X360,0.19,2006,1,0,17.95,78,1,4,1,0,0,0,0,0
Full Auto,"Action, Racing / Driving",X360,0.19,2006,0,0,16.95,70,1,2,1,0,0,0,0,0
Age of Empires: The Age of Kings,Strategy,Nintendo DS,0.19,2006,1,0,17.95,80,2,1,0,0,1,0,0,0
Need for Speed: Carbon - Own the City,"Action, Racing / Driving",Nintendo DS,0.19,2006,1,0,14.95,70,2,1,0,0,1,0,0,1
Brothers in Arms: D-Day,Action,Sony PSP,0.19,2006,1,0,6.95,65,2,1,1,0,1,0,0,0
Family Guy Video Game!,Action,Sony PSP,0.19,2006,0,0,19.95,51,2,1,0,1,1,0,0,1
Superman Returns,Action,X360,0.19,2006,0,0,7.95,51,1,1,0,1,0,0,0,1
Over G Fighters,Simulation,X360,0.18,2006,0,0,17.95,49,1,2,1,0,0,0,0,0
Final Fantasy XI Online,"Action, Role-Playing (RPG)",X360,0.18,2006,1,0,4.95,66,1,1,1,0,0,0,0,0
Mystery Dungeon: Shiren the Wanderer,"Action, Role-Playing (RPG)",Nintendo DS,0.17,2006,0,0,17.95,69,2,1,0,0,1,0,0,0
Phoenix Wright: Ace Attorney - Justice for All,"Adventure, Simulation",Nintendo DS,0.17,2006,1,0,13.95,76,2,1,0,0,1,0,0,0
Justice League Heroes,Action,Sony PSP,0.17,2006,0,0,17.95,72,2,1,0,1,1,0,0,1
Valhalla Knights,"Action, Role-Playing (RPG)",Sony PSP,0.17,2006,0,0,16.95,53,2,1,0,0,1,0,0,0
Genji: Days of the Blade,"Action, Role-Playing (RPG)",PlayStation 3,0.17,2006,1,0,14.95,55,0,1,0,0,0,0,0,0
Top Spin 2,Sports,X360,0.16,2006,1,0,12.95,75,1,4,1,1,0,0,0,0
Field Commander,Strategy,Sony PSP,0.16,2006,0,0,14.95,77,2,2,1,0,1,0,0,0
Children of Mana,"Action, Role-Playing (RPG)",Nintendo DS,0.16,2006,1,0,16.95,65,2,1,0,0,1,0,0,0
Valkyrie Profile: Lenneth,Role-Playing (RPG),Sony PSP,0.16,2006,1,0,22.95,80,2,1,0,0,1,0,0,0
Brain Boost: Beta Wave,Simulation,Nintendo DS,0.15,2006,0,0,12.95,39,2,1,0,0,1,0,0,0
Brain Boost: Gamma Wave,Strategy,Nintendo DS,0.15,2006,1,0,13.95,40,2,1,0,0,1,0,0,0
Monster House,Action,Nintendo DS,0.15,2006,0,0,14.95,62,2,1,0,1,1,0,0,0
Enchanted Arms,Role-Playing (RPG),X360,0.15,2006,0,0,17.95,69,1,1,1,0,0,0,0,1
NHL 07,Sports,Sony PSP,0.14,2006,1,0,12.95,76,2,4,0,1,1,0,0,1
Bust-a-Move Deluxe,Strategy,Sony PSP,0.14,2006,1,0,14.95,73,2,2,1,0,1,0,0,0
Full Auto 2: Battlelines,"Action, Racing / Driving",PlayStation 3,0.14,2006,1,0,14.95,67,0,2,1,0,0,0,0,1
Blitz: The League,Sports,X360,0.14,2006,0,0,14.95,69,1,2,1,0,0,0,0,0
Star Trek Legacy,"Action, Strategy",X360,0.14,2006,0,0,24.95,64,1,2,1,1,0,0,0,0
Eragon,"Action, Role-Playing (RPG)",Nintendo DS,0.14,2006,0,0,16.95,63,2,1,0,1,1,0,0,1
Master of Illusion,Strategy,Nintendo DS,0.14,2006,0,0,14.95,69,2,1,0,0,1,0,0,0
Mega Man ZX,Action,Nintendo DS,0.14,2006,1,0,19.95,76,2,1,0,0,1,0,0,0
Untold Legends: The Warrior's Code,"Action, Role-Playing (RPG)",Sony PSP,0.14,2006,1,0,14.95,65,2,1,1,0,1,0,0,0
Super Swing Golf,Sports,Nintendo Wii,0.14,2006,0,0,16.95,72,0,1,0,0,0,0,0,0
World Series of Poker: Tournament of Champions,Sports,X360,0.14,2006,0,0,14.95,69,1,1,1,1,0,0,0,1
X-Men: The Official Game,Action,X360,0.14,2006,0,0,14.95,52,1,1,0,1,0,0,0,1
Untold Legends: Dark Kingdom,"Action, Role-Playing (RPG)",PlayStation 3,0.13,2006,1,0,16.95,58,0,2,1,0,0,0,0,0
Happy Feet,Action,Nintendo Wii,0.13,2006,0,0,14.95,46,0,2,0,1,0,0,0,1
Open Season,Action,Nintendo DS,0.13,2006,0,0,17.95,72,2,1,0,1,1,0,0,1
Dungeon Siege: Throne of Agony,Role-Playing (RPG),Sony PSP,0.13,2006,1,0,24.95,74,2,1,0,0,1,0,0,0
LocoRoco,"Action, Strategy",Sony PSP,0.13,2006,0,0,17.95,83,2,1,1,0,1,0,0,0
Dead or Alive: Xtreme 2,"Racing / Driving, Sports",X360,0.13,2006,1,0,14.95,53,1,1,1,0,0,0,0,0
Fuzion Frenzy 2,"Action, Sports",X360,0.12,2006,1,0,14.95,49,1,4,1,0,0,0,0,0
MotoGP '06,"Racing / Driving, Simulation, Sports",X360,0.12,2006,1,0,14.95,80,1,4,1,1,0,0,0,0
Lumines II,Strategy,Sony PSP,0.12,2006,1,0,14.95,81,2,2,1,1,1,0,0,0
Tamagotchi Connexion: Corner Shop,Simulation,Nintendo DS,0.12,2006,0,0,15.95,59,2,1,0,1,1,0,0,0
Major League Baseball 2K6,Sports,Sony PSP,0.12,2006,1,0,4.95,69,2,1,0,1,1,0,0,1
Star Wars: Lethal Alliance,Action,Sony PSP,0.12,2006,1,0,17.95,61,2,1,1,1,1,0,0,0
Worms: Open Warfare,"Action, Strategy",Sony PSP,0.12,2006,0,0,17.95,70,2,1,1,0,1,0,0,1
Eragon,Action,Sony PSP,0.11,2006,0,0,14.95,59,2,4,1,1,1,0,0,1
Metal Slug Anthology,Action,Nintendo Wii,0.11,2006,0,1,16.95,73,0,4,0,0,0,0,0,1
Open Season,Action,X360,0.11,2006,0,0,14.95,59,1,4,0,1,0,0,0,1
Tom Clancy's Splinter Cell: Double Agent,Action,Nintendo Wii,0.11,2006,1,0,17.95,61,0,2,0,1,0,0,0,1
Avatar: The Last Airbender,Action,Sony PSP,0.11,2006,0,0,17.95,57,2,1,0,1,1,0,0,1
FIFA World Cup: Germany 2006,Sports,Sony PSP,0.11,2006,1,0,17.95,72,2,1,1,1,1,0,0,1
Lemmings,Strategy,Sony PSP,0.11,2006,0,1,17.95,76,2,1,0,1,1,0,0,0
Mega Man Powered Up,Action,Sony PSP,0.11,2006,0,1,16.95,82,2,1,0,0,1,0,0,0
College Hoops 2K6,Sports,X360,0.11,2006,1,0,6.95,70,1,1,0,1,0,0,0,1
Dynasty Warriors 5: Empires,"Action, Role-Playing (RPG), Strategy",X360,0.1,2006,1,0,14.95,61,1,2,0,0,0,0,0,1
Magical Starsign,Role-Playing (RPG),Nintendo DS,0.1,2006,0,0,9.95,69,2,1,0,0,1,0,0,0
Resident Evil: Deadly Silence,Action,Nintendo DS,0.1,2006,0,1,17.95,71,2,1,0,0,1,0,0,0
X-Men: The Official Game,Action,Nintendo DS,0.1,2006,0,0,14.95,50,2,1,0,1,1,0,0,1
NBA Ballers: Rebound,"Action, Sports",Sony PSP,0.1,2006,1,0,14.95,69,2,1,0,1,1,0,0,0
World Series of Poker: Tournament of Champions,Sports,Sony PSP,0.1,2006,1,0,16.95,70,2,1,1,1,1,0,0,1
Cabela's African Safari,Sports,X360,0.1,2006,1,0,17.95,53,1,1,0,1,0,0,0,0
Cabela's Alaskan Adventures,Sports,X360,0.1,2006,1,0,17.95,48,1,1,0,1,0,0,0,0
Armored Core 4,Action,PlayStation 3,0.09,2006,1,0,19.95,65,0,2,1,0,0,0,0,1
Eragon,Action,X360,0.09,2006,0,0,12.95,48,1,2,0,1,0,0,0,1
LostMagic,"Action, Role-Playing (RPG)",Nintendo DS,0.09,2006,0,0,14.95,68,2,1,1,0,1,0,0,0
Magnetica,"Action, Strategy",Nintendo DS,0.09,2006,0,0,17.95,68,2,1,0,0,1,0,0,0
Def Jam Fight for NY: The Takeover,Action,Sony PSP,0.09,2006,1,0,17.95,79,2,1,0,1,1,0,0,0
NASCAR 07,"Racing / Driving, Simulation",Sony PSP,0.09,2006,1,0,24.95,66,2,1,0,1,1,0,0,1
The Ant Bully,Action,Nintendo Wii,0.09,2006,0,0,16.95,45,0,1,0,1,0,0,0,1
Just Cause,"Action, Racing / Driving",X360,0.09,2006,0,0,16.95,73,1,1,0,0,0,0,0,1
Onechanbara: Bikini Samurai Squad,Action,X360,0.09,2006,0,0,19.95,39,1,1,0,0,0,0,0,0
Phantasy Star Universe,Role-Playing (RPG),X360,0.09,2006,1,0,24.95,64,1,1,1,0,0,0,0,1
Project Sylpheed: Arc of Deception,Action,X360,0.09,2006,0,0,14.95,64,1,1,0,0,0,0,0,0
Winning Eleven: Pro Evolution Soccer 2007,Sports,X360,0.08,2006,1,0,11.95,80,1,6,1,0,0,0,0,1
Kororinpa: Marble Mania,"Action, Strategy",Nintendo Wii,0.08,2006,0,0,17.95,69,0,2,0,0,0,0,0,0
Charlotte's Web,Action,Nintendo DS,0.08,2006,0,0,14.95,60,2,1,0,1,1,0,0,0
Digimon World DS,Role-Playing (RPG),Nintendo DS,0.08,2006,0,0,27.95,49,2,1,0,1,1,0,0,0
Justice League Heroes,Action,Nintendo DS,0.08,2006,0,0,17.95,43,2,1,0,1,1,0,0,1
Innocent Life: A Futuristic Harvest Moon,"Role-Playing (RPG), Simulation, Strategy",Sony PSP,0.08,2006,1,0,17.95,67,2,1,0,0,1,0,0,0
Power Stone Collection,Action,Sony PSP,0.08,2006,0,1,14.95,74,2,1,1,0,1,0,0,0
EA Replay,"Action, Role-Playing (RPG), Simulation, Sports, Strategy",Sony PSP,0.07,2006,0,1,14.95,56,2,4,1,0,1,0,0,0
Open Season,Action,Nintendo Wii,0.07,2006,0,0,17.95,49,0,4,0,1,0,0,0,1
Samurai Warriors 2,Action,X360,0.07,2006,1,0,14.95,52,1,4,1,0,0,0,0,1
Disney/Pixar Cars,"Action, Racing / Driving",Nintendo Wii,0.07,2006,0,0,17.95,65,0,2,0,1,0,0,0,1
Far Cry: Vengeance,Action,Nintendo Wii,0.07,2006,1,0,16.95,38,0,2,0,0,0,0,0,0
Import Tuner Challenge,Racing / Driving,X360,0.07,2006,0,0,17.95,54,1,2,1,1,0,0,0,0
Contact,"Adventure, Role-Playing (RPG)",Nintendo DS,0.07,2006,0,0,14.95,73,2,1,1,0,1,0,0,0
Finding Nemo: Escape to the Big Blue,"Action, Racing / Driving",Nintendo DS,0.07,2006,0,0,17.95,66,2,1,0,1,1,0,0,1
Touch Detective,Adventure,Nintendo DS,0.07,2006,0,0,14.95,60,2,1,0,0,1,0,0,0
FIFA Street 2,Sports,Sony PSP,0.07,2006,1,0,17.95,58,2,1,1,1,1,0,0,1
007: From Russia with Love,"Action, Racing / Driving",Sony PSP,0.07,2006,1,0,17.95,61,2,1,0,0,1,0,0,0
PaRappa the Rapper,Action,Sony PSP,0.07,2006,0,1,12.95,67,2,1,1,0,1,0,0,0
Riviera: The Promised Land,Role-Playing (RPG),Sony PSP,0.07,2006,0,0,17.95,68,2,1,0,0,1,0,0,0
Samurai Warriors: State of War,Action,Sony PSP,0.07,2006,0,0,17.95,64,2,1,1,0,1,0,0,0
Viewtiful Joe: Red Hot Rumble,Action,Sony PSP,0.07,2006,1,0,14.95,63,2,1,0,0,1,0,0,1
Ice Age 2: The Meltdown,Action,Nintendo Wii,0.07,2006,1,0,17.95,66,0,1,0,1,0,0,0,0
Rumble Roses XX,"Action, Sports",X360,0.06,2006,1,0,17.95,62,1,4,1,0,0,0,0,0
Bionicle Heroes,Action,Nintendo DS,0.06,2006,0,0,16.95,72,2,1,0,1,1,0,0,1
Deep Labyrinth,Role-Playing (RPG),Nintendo DS,0.06,2006,0,0,10.95,57,2,1,0,0,1,0,0,0
Blade Dancer: Lineage of Light,Role-Playing (RPG),Sony PSP,0.06,2006,0,0,16.95,60,2,1,1,0,1,0,0,0
Every Extend Extra,Action,Sony PSP,0.06,2006,0,0,11.95,74,2,1,1,0,1,0,0,0
Ultimate Ghosts 'N' Goblins,Action,Sony PSP,0.06,2006,0,1,17.95,72,2,1,0,0,1,0,0,0
Xiaolin Showdown,Action,Sony PSP,0.06,2006,0,0,14.95,44,2,1,0,1,1,0,0,1
Bionicle Heroes,Action,X360,0.06,2006,0,0,14.95,59,1,1,0,1,0,0,0,1
Bullet Witch,Action,X360,0.06,2006,0,0,16.95,55,1,1,0,0,0,0,0,0
Activision Hits Remixed,"Action, Racing / Driving, Simulation, Sports, Strategy",Sony PSP,0.05,2006,0,1,17.95,75,2,4,1,0,1,0,0,0
Death Jr. II: Root of Evil,Action,Sony PSP,0.05,2006,1,0,14.95,68,2,2,1,0,1,0,0,1
Alex Rider: Stormbreaker,"Action, Adventure",Nintendo DS,0.05,2006,0,0,12.95,48,2,1,0,1,1,0,0,1
Cartoon Network Racing,Racing / Driving,Nintendo DS,0.05,2006,0,0,14.95,55,2,1,0,1,1,0,0,0
Guilty Gear: Dust Strikers,Action,Nintendo DS,0.05,2006,1,0,14.95,60,2,1,0,0,1,0,0,0
Gunpey DS,Strategy,Nintendo DS,0.05,2006,0,0,12.95,70,2,1,0,0,1,0,0,0
March of the Penguins,"Action, Educational, Strategy",Nintendo DS,0.05,2006,0,0,7.95,34,2,1,0,1,1,0,0,1
Lara Croft Tomb Raider: Legend,"Action, Racing / Driving",Nintendo DS,0.05,2006,1,0,17.95,58,2,1,0,0,1,0,0,1
Worms: Open Warfare,"Action, Strategy",Nintendo DS,0.05,2006,1,0,17.95,64,2,1,0,0,1,0,0,1
Mercury Meltdown,Strategy,Sony PSP,0.05,2006,0,0,12.95,78,2,1,1,0,1,0,0,1
MTX Mototrax,"Racing / Driving, Sports",Sony PSP,0.05,2006,0,0,19.95,67,2,1,1,1,1,0,0,1
Snoopy vs. the Red Baron,Action,Sony PSP,0.05,2006,0,0,17.95,76,2,1,0,1,1,0,0,1
Super Monkey Ball Adventure,"Action, Racing / Driving",Sony PSP,0.05,2006,1,0,24.95,56,2,1,1,0,1,0,0,1
Ys VI: The Ark of Napishtim,"Action, Role-Playing (RPG)",Sony PSP,0.05,2006,1,0,16.95,64,2,1,0,0,1,0,0,0
World Series of Poker: Tournament of Champions,Sports,Nintendo Wii,0.05,2006,0,0,24.95,46,0,1,0,1,0,0,0,0
Bomberman Land Touch!,Action,Nintendo DS,0.04,2006,1,0,24.95,78,2,1,1,0,1,0,0,0
Lionel Trains on Track,"Simulation, Strategy",Nintendo DS,0.04,2006,0,0,13.95,47,2,1,0,1,1,0,0,0
Point Blank DS,Action,Nintendo DS,0.04,2006,0,1,17.95,66,2,1,0,0,1,0,0,0
Scurge: Hive,Action,Nintendo DS,0.04,2006,0,0,8.95,70,2,1,0,0,1,0,0,1
Star Trek: Tactical Assault,"Action, Strategy",Nintendo DS,0.04,2006,0,0,17.95,63,2,1,0,1,1,0,0,1
Tao's Adventure: Curse of the Demon Seal,Role-Playing (RPG),Nintendo DS,0.04,2006,0,0,14.95,50,2,1,0,0,1,0,0,0
Ford Bold Moves Street Racing,Racing / Driving,Sony PSP,0.04,2006,1,0,17.95,52,2,1,1,1,1,0,0,0
Gitaroo Man Lives!,Simulation,Sony PSP,0.04,2006,1,0,22.95,80,2,1,1,0,1,0,0,0
Gradius Collection,Action,Sony PSP,0.04,2006,0,1,17.95,76,2,1,0,0,1,0,0,0
The Legend of Heroes II: Prophecy of the Moonli...,Role-Playing (RPG),Sony PSP,0.04,2006,1,0,17.95,63,2,1,0,0,1,0,0,0
Pac-Man World Rally,"Action, Racing / Driving",Sony PSP,0.04,2006,0,0,17.95,51,2,1,0,0,1,0,0,1
Bomberman: Act Zero,Action,X360,0.04,2006,1,0,12.95,34,1,1,0,0,0,0,0,0
Taito Legends: Power-Up,Action,Sony PSP,0.03,2006,0,1,16.95,61,2,2,1,0,1,0,0,0
Wing Island,Simulation,Nintendo Wii,0.03,2006,0,0,19.95,47,0,2,0,0,0,0,0,0
Earth Defense Force 2017,Action,X360,0.03,2006,0,0,17.95,69,1,2,0,0,0,0,0,0
WarTech: Senko no Ronde,Action,X360,0.03,2006,0,0,12.95,60,1,2,1,0,0,0,0,0
MechAssault: Phantom War,Action,Nintendo DS,0.03,2006,1,0,12.95,66,2,1,0,1,1,0,0,0
Astonishia Story,"Role-Playing (RPG), Strategy",Sony PSP,0.03,2006,0,0,16.95,48,2,1,0,0,1,0,0,0
B-Boy,Action,Sony PSP,0.03,2006,0,0,17.95,50,2,1,0,0,1,0,0,1
BattleZone,Action,Sony PSP,0.03,2006,0,0,14.95,57,2,1,1,0,1,0,0,0
Bounty Hounds,"Action, Strategy",Sony PSP,0.03,2006,0,0,17.95,63,2,1,1,0,1,0,0,0
Bubble Bobble Evolution,Action,Sony PSP,0.03,2006,0,1,12.95,47,2,1,0,0,1,0,0,0
MotoGP,"Racing / Driving, Sports",Sony PSP,0.03,2006,0,0,32.95,69,2,1,0,1,1,0,0,1
OutRun 2006: Coast 2 Coast,Racing / Driving,Sony PSP,0.03,2006,1,0,17.95,82,2,1,1,1,1,0,0,1
Stacked with Daniel Negreanu,Strategy,Sony PSP,0.03,2006,0,0,16.95,63,2,1,0,0,1,0,0,1
Street Supremacy,Racing / Driving,Sony PSP,0.03,2006,0,0,7.95,41,2,1,0,1,1,0,0,0
Warhammer: Battle for Atluma,Strategy,Sony PSP,0.03,2006,0,0,17.95,55,2,1,1,1,1,0,0,0
Online Chess Kingdoms,Strategy,Sony PSP,0.02,2006,0,0,12.95,60,2,2,1,0,1,0,0,0
Freedom Wings,"Action, Simulation",Nintendo DS,0.02,2006,0,0,14.95,46,2,1,0,0,1,0,0,0
Konductra,Strategy,Nintendo DS,0.02,2006,0,0,19.95,60,2,1,0,0,1,0,0,0
SBK: Snowboard Kids,"Action, Sports",Nintendo DS,0.02,2006,0,0,19.95,63,2,1,0,0,1,0,0,0
Tenchu: Dark Secret,Action,Nintendo DS,0.02,2006,1,0,14.95,37,2,1,0,0,1,0,0,0
Dungeon Maker: Hunting Ground,"Action, Role-Playing (RPG)",Sony PSP,0.02,2006,0,0,14.95,70,2,1,0,0,1,0,0,0
Metal Gear Solid: Digital Graphic Novel,Adventure,Sony PSP,0.02,2006,0,0,17.95,78,2,1,0,0,1,0,0,0
Payout Poker & Casino,Sports,Sony PSP,0.02,2006,0,0,17.95,54,2,1,0,0,1,0,0,0
Rengoku 2: Stairway to H.E.A.V.E.N.,Action,Sony PSP,0.02,2006,1,0,9.95,51,2,1,0,0,1,0,0,0
Star Trek: Tactical Assault,"Action, Strategy",Sony PSP,0.02,2006,0,0,17.95,64,2,1,1,1,1,0,0,1
Micro Machines V4,"Action, Racing / Driving",Sony PSP,0.01,2006,1,0,17.95,61,2,2,1,1,1,0,0,1
Platypus,Action,Sony PSP,0.01,2006,0,0,14.95,59,2,2,1,0,1,0,0,0
Custom Robo Arena,"Action, Role-Playing (RPG)",Nintendo DS,0.01,2006,1,0,17.95,74,2,1,1,0,1,0,0,0
Monster Bomber,"Action, Strategy",Nintendo DS,0.01,2006,0,0,13.95,55,2,1,0,0,1,0,0,0
Gurumin: A Monstrous Adventure,Action,Sony PSP,0.01,2006,0,0,13.95,78,2,1,0,0,1,0,0,0
Pocket Racers,"Action, Racing / Driving",Sony PSP,0.01,2006,0,0,12.95,39,2,1,0,0,1,0,0,0
Spider-Man 3,Action,Sony PSP,0.01,2006,1,0,6.95,58,2,1,0,1,1,0,0,0
Wii Fit,"Educational, Sports",Nintendo Wii,9.6,2007,0,0,24.95,80,1,1,0,0,0,0,0,0
Halo 3,Action,X360,8.03,2007,1,0,24.95,94,2,4,1,0,0,0,0,0
