Publisher,Title,Genre,Console,USSales,YearReleased,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Advance Wars: Dual Strike,Strategy,Nintendo DS,0.3,2005,1,0,17.95,90,1,1,0,0,1,0,0,0
"Atlus Co., Ltd., Atlus U.S.A., Inc., Nintendo of Europe GmbH",Trauma Center: Under the Knife,"Action, Simulation",Nintendo DS,0.3,2005,0,0,15.95,81,1,1,0,0,1,0,0,0
"Konami Corporation, Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.",Coded Arms,Action,Sony PSP,0.3,2005,0,0,12.95,59,1,1,1,0,1,0,0,0
"Electronic Arts, Inc.",NBA LIVE 06 ,Sports,X360,0.29,2005,1,0,4.95,64,0,1,0,0,0,0,0,1
"Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited",Tony Hawk's American Wasteland,Sports,X360,0.29,2005,1,0,14.95,75,0,1,1,1,0,0,0,1
"Ubisoft Entertainment SA, Ubisoft, Inc.",Star Wars: Episode III - Revenge of the Sith,Action,Nintendo DS,0.28,2005,1,0,16.95,73,1,1,0,1,1,0,0,0
"Capcom Entertainment, Inc., CE Europe Ltd.",Capcom Classics Collection Remixed,Action,Sony PSP,0.28,2005,0,1,17.95,72,1,1,1,0,1,0,0,0
"Activision Publishing, Inc.",Madagascar,Adventure,Nintendo DS,0.27,2005,0,0,14.95,66,1,1,0,1,1,0,0,1
"Activision Deutschland GmbH, Activision Publishing, Inc.",X-Men: Legends II - Rise of Apocalypse,"Action, Role-Playing (RPG)",Sony PSP,0.27,2005,1,0,17.95,84,1,1,1,1,1,0,0,1
"Activision Deutschland GmbH, Activision Italia, Activision Publishing, Inc., Activision (UK) Limited",Quake 4,Action,X360,0.27,2005,1,0,14.95,75,0,1,1,0,0,0,0,0
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",PokÇmon Trozei!,Strategy,Nintendo DS,0.26,2005,0,0,19.95,74,1,1,0,0,1,0,0,0
"Electronic Arts, Inc.",Need for Speed: Most Wanted,Racing / Driving,Nintendo DS,0.25,2005,1,0,15.95,45,1,1,0,1,1,0,0,1
"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.",Mega Man Maverick Hunter X,Action,Sony PSP,0.25,2005,0,1,17.95,79,1,1,0,0,1,0,0,0
"Sony Computer Entertainment America, Inc.",MLB,Sports,Sony PSP,0.24,2005,0,0,9.95,80,1,1,0,1,1,0,0,0
"Electronic Arts, Inc.",NBA Street Showdown,Sports,Sony PSP,0.22,2005,1,0,17.95,75,1,4,1,1,1,0,0,0
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Metroid Prime Pinball,"Action, Simulation",Nintendo DS,0.22,2005,1,0,17.95,79,1,1,0,0,1,0,0,0
"Sony Computer Entertainment America, Inc.",NBA 06,Sports,Sony PSP,0.22,2005,1,0,9.95,72,1,1,1,1,1,0,0,1
"Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited",GUN ,"Action, Racing / Driving, Role-Playing (RPG)",X360,0.22,2005,0,0,19.95,75,0,1,0,0,0,0,0,1
2K Sports,NBA 2K6 ,Sports,X360,0.22,2005,1,0,4.95,81,0,1,0,0,0,0,0,1
"Crave Entertainment, Inc., Play It Ltd, System 3 Software, Ltd.",Pinball Hall of Fame: The Gottlieb Collection,Action,Sony PSP,0.21,2005,1,0,9.95,73,1,4,1,1,1,0,0,1
"Electronic Arts Australia, Electronic Arts, Inc.",Harry Potter and the Goblet of Fire,Action,Nintendo DS,0.21,2005,1,0,17.95,68,1,1,0,1,1,0,0,1
"Activision Deutschland GmbH, Activision Publishing, Inc.",Tony Hawk's American Sk8land,Sports,Nintendo DS,0.21,2005,1,0,16.95,84,1,1,1,1,1,0,0,1
"Midway Games, Inc., Midway Games Ltd.",Midway Arcade Treasures: Extended Play,"Action, Racing / Driving, Sports",Sony PSP,0.21,2005,0,1,14.95,63,1,1,1,0,1,0,0,0
"Electronic Arts, Inc.",MVP Baseball,Sports,Sony PSP,0.21,2005,0,0,4.95,67,1,1,1,0,1,0,0,1
"Sony Computer Entertainment America, Inc.",NBA,Sports,Sony PSP,0.21,2005,0,0,9.95,57,1,1,0,1,1,0,0,0
"Electronic Arts, Inc.",Tiger Woods PGA Tour,Sports,Sony PSP,0.21,2005,0,0,17.95,78,1,1,1,1,1,0,0,0
"Activision Value Publishing, Inc.",World Series of Poker,"Sports, Strategy",Sony PSP,0.21,2005,0,0,14.95,37,1,1,1,1,1,0,0,1
"Electronic Arts, Inc.",SSX on Tour,Sports,Sony PSP,0.2,2005,1,0,16.95,79,1,1,1,0,1,0,0,1
"Electronic Arts, Inc.",Tiger Woods PGA Tour 06,Sports,Sony PSP,0.2,2005,1,0,9.95,80,1,1,1,1,1,0,0,0
