USSales,YearReleased,Sequel,ReRelease,Usedprice,ReviewScore,Lifecycle,MaxPlayers,Online,licensed,Handheld,Accessory,LtdEdition,Multiplatform
0.19,2006,1,0,17.95,78,1,4,1,0,0,0,0,0
0.19,2006,0,0,16.95,70,1,2,1,0,0,0,0,0
0.19,2006,1,0,17.95,80,2,1,0,0,1,0,0,0
0.19,2006,1,0,14.95,70,2,1,0,0,1,0,0,1
0.19,2006,1,0,6.95,65,2,1,1,0,1,0,0,0
0.19,2006,0,0,19.95,51,2,1,0,1,1,0,0,1
0.19,2006,0,0,7.95,51,1,1,0,1,0,0,0,1
0.18,2006,0,0,17.95,49,1,2,1,0,0,0,0,0
0.18,2006,1,0,4.95,66,1,1,1,0,0,0,0,0
0.17,2006,0,0,17.95,69,2,1,0,0,1,0,0,0
0.17,2006,1,0,13.95,76,2,1,0,0,1,0,0,0
0.17,2006,0,0,17.95,72,2,1,0,1,1,0,0,1
0.17,2006,0,0,16.95,53,2,1,0,0,1,0,0,0
0.17,2006,1,0,14.95,55,0,1,0,0,0,0,0,0
0.16,2006,1,0,12.95,75,1,4,1,1,0,0,0,0
0.16,2006,0,0,14.95,77,2,2,1,0,1,0,0,0
0.16,2006,1,0,16.95,65,2,1,0,0,1,0,0,0
0.16,2006,1,0,22.95,80,2,1,0,0,1,0,0,0
0.15,2006,0,0,12.95,39,2,1,0,0,1,0,0,0
0.15,2006,1,0,13.95,40,2,1,0,0,1,0,0,0
0.15,2006,0,0,14.95,62,2,1,0,1,1,0,0,0
0.15,2006,0,0,17.95,69,1,1,1,0,0,0,0,1
0.14,2006,1,0,12.95,76,2,4,0,1,1,0,0,1
0.14,2006,1,0,14.95,73,2,2,1,0,1,0,0,0
0.14,2006,1,0,14.95,67,0,2,1,0,0,0,0,1
0.14,2006,0,0,14.95,69,1,2,1,0,0,0,0,0
0.14,2006,0,0,24.95,64,1,2,1,1,0,0,0,0
0.14,2006,0,0,16.95,63,2,1,0,1,1,0,0,1
0.14,2006,0,0,14.95,69,2,1,0,0,1,0,0,0
0.14,2006,1,0,19.95,76,2,1,0,0,1,0,0,0
0.14,2006,1,0,14.95,65,2,1,1,0,1,0,0,0
0.14,2006,0,0,16.95,72,0,1,0,0,0,0,0,0
0.14,2006,0,0,14.95,69,1,1,1,1,0,0,0,1
0.14,2006,0,0,14.95,52,1,1,0,1,0,0,0,1
0.13,2006,1,0,16.95,58,0,2,1,0,0,0,0,0
0.13,2006,0,0,14.95,46,0,2,0,1,0,0,0,1
0.13,2006,0,0,17.95,72,2,1,0,1,1,0,0,1
0.13,2006,1,0,24.95,74,2,1,0,0,1,0,0,0
0.13,2006,0,0,17.95,83,2,1,1,0,1,0,0,0
0.13,2006,1,0,14.95,53,1,1,1,0,0,0,0,0
0.12,2006,1,0,14.95,49,1,4,1,0,0,0,0,0
0.12,2006,1,0,14.95,80,1,4,1,1,0,0,0,0
0.12,2006,1,0,14.95,81,2,2,1,1,1,0,0,0
0.12,2006,0,0,15.95,59,2,1,0,1,1,0,0,0
0.12,2006,1,0,4.95,69,2,1,0,1,1,0,0,1
0.12,2006,1,0,17.95,61,2,1,1,1,1,0,0,0
0.12,2006,0,0,17.95,70,2,1,1,0,1,0,0,1
0.11,2006,0,0,14.95,59,2,4,1,1,1,0,0,1
0.11,2006,0,1,16.95,73,0,4,0,0,0,0,0,1
0.11,2006,0,0,14.95,59,1,4,0,1,0,0,0,1
0.11,2006,1,0,17.95,61,0,2,0,1,0,0,0,1
0.11,2006,0,0,17.95,57,2,1,0,1,1,0,0,1
0.11,2006,1,0,17.95,72,2,1,1,1,1,0,0,1
0.11,2006,0,1,17.95,76,2,1,0,1,1,0,0,0
0.11,2006,0,1,16.95,82,2,1,0,0,1,0,0,0
0.11,2006,1,0,6.95,70,1,1,0,1,0,0,0,1
0.1,2006,1,0,14.95,61,1,2,0,0,0,0,0,1
0.1,2006,0,0,9.95,69,2,1,0,0,1,0,0,0
0.1,2006,0,1,17.95,71,2,1,0,0,1,0,0,0
0.1,2006,0,0,14.95,50,2,1,0,1,1,0,0,1
0.1,2006,1,0,14.95,69,2,1,0,1,1,0,0,0
0.1,2006,1,0,16.95,70,2,1,1,1,1,0,0,1
0.1,2006,1,0,17.95,53,1,1,0,1,0,0,0,0
0.1,2006,1,0,17.95,48,1,1,0,1,0,0,0,0
0.09,2006,1,0,19.95,65,0,2,1,0,0,0,0,1
0.09,2006,0,0,12.95,48,1,2,0,1,0,0,0,1
0.09,2006,0,0,14.95,68,2,1,1,0,1,0,0,0
0.09,2006,0,0,17.95,68,2,1,0,0,1,0,0,0
0.09,2006,1,0,17.95,79,2,1,0,1,1,0,0,0
0.09,2006,1,0,24.95,66,2,1,0,1,1,0,0,1
0.09,2006,0,0,16.95,45,0,1,0,1,0,0,0,1
0.09,2006,0,0,16.95,73,1,1,0,0,0,0,0,1
0.09,2006,0,0,19.95,39,1,1,0,0,0,0,0,0
0.09,2006,1,0,24.95,64,1,1,1,0,0,0,0,1
0.09,2006,0,0,14.95,64,1,1,0,0,0,0,0,0
0.08,2006,1,0,11.95,80,1,6,1,0,0,0,0,1
0.08,2006,0,0,17.95,69,0,2,0,0,0,0,0,0
0.08,2006,0,0,14.95,60,2,1,0,1,1,0,0,0
0.08,2006,0,0,27.95,49,2,1,0,1,1,0,0,0
0.08,2006,0,0,17.95,43,2,1,0,1,1,0,0,1
0.08,2006,1,0,17.95,67,2,1,0,0,1,0,0,0
0.08,2006,0,1,14.95,74,2,1,1,0,1,0,0,0
0.07,2006,0,1,14.95,56,2,4,1,0,1,0,0,0
0.07,2006,0,0,17.95,49,0,4,0,1,0,0,0,1
